"","x"
"1",27.3351396708074
"2",13.9747301536053
"3",18.7922711972643
"4",15.7540573276803
"5",12.8727049534228
"6",17.7092223026955
"7",16.77072076335
"8",9.00125431660343
"9",17.3196938799201
"10",14.666030706006
"11",13.4532979545663
"12",14.5587038418591
"13",19.602028140451
"14",21.3713939083186
"15",15.0558986418576
"16",15.7758371715891
"17",13.8929678124705
"18",15.2598770970031
"19",22.0073101996359
"20",25.1926923543778
"21",12.3964318145081
"22",17.1364226971039
"23",23.169662691427
"24",23.7061084158591
"25",21.8720779295055
"26",16.132102796578
"27",15.5143502229327
"28",16.4926737605666
"29",17.6820813701285
"30",20.1558298115308
"31",19.650090071521
"32",14.7343748813074
"33",18.1644027183258
"34",14.1372657908545
"35",19.2714448181047
"36",26.1793612620343
"37",24.6578057001979
"38",13.2535920429237
"39",15.8959664475375
"40",16.5037697241259
"41",15.896843402813
"42",13.7417477115106
"43",16.4613078440776
"44",14.980743049256
"45",21.1072803548399
"46",18.0362570164936
"47",25.6217900492599
"48",17.5450235847451
"49",17.1937400090547
"50",20.0165707747177
"51",26.7645181167985
"52",18.3601715724235
"53",14.5261424490106
"54",12.7495842515157
"55",16.3915421358441
"56",18.8007998049936
"57",14.427872437317
"58",16.3401577135435
"59",29.7123728337672
"60",12.5730088910968
"61",29.7000440070682
"62",15.757240012081
"63",12.5289929022883
"64",18.1956307337853
"65",20.7282328013326
"66",17.1924079891413
"67",28.0346642232808
"68",19.5169365570173
"69",14.820136598861
"70",37.1228076236911
"71",23.5472823647008
"72",17.2422129648696
"73",17.9614352817003
"74",16.6576869018812
"75",12.4039487085696
"76",18.1834486428759
"77",14.2754561710299
"78",18.21297503554
"79",20.4840124522185
"80",17.7230007407729
"81",30.220635821663
"82",15.9882437152065
"83",14.2226409875991
"84",18.0474978582782
"85",19.4750226897384
"86",23.2054251332221
"87",21.0911385258008
"88",25.68154761246
"89",32.1653473617487
"90",21.258611125893
"91",21.4616045491997
"92",15.229443779766
"93",12.5739823497282
"94",23.3590148650945
"95",17.3892886468886
"96",17.3180174882678
"97",19.6493701213446
"98",13.8956757324836
"99",16.5322279089632
"100",15.6375625186146
